Fireball,791
Knight,517
Barbarian Barrel,462
Tornado,459
Mortar,443
Goblin Gang,439
The Log,413
Tesla,367
Golem,367
Electro Dragon,348
X,314
Baby Dragon,303
Mega Minion,277
Skeletons,253
Archers,223
Skeleton Barrel,221
Lumberjack,217
Firecracker,201
Ice Spirit,192
Cannon Cart,187
Spear Goblins,187
Furnace,68
Executioner,63
Witch,57
Mirror,38
Balloon,20
Goblin Drill,9
Bomb Tower,8
P.E.K.K.A,6
Hog Rider,6
Electro Wizard,6
Hunter,5
Princess,5
Zap,3
Elixir Golem,2
Wizard,2
Barbarians,2
Rascals,2
Rage,2
Elite Barbarians,2
Electro Spirit,2
Flying Machine,2
Giant Snowball,2
Night Witch,1
Mini P.E.K.K.A,1
Phoenix,1
Ice Golem,1
Miner,1
Earthquake,1
Cannon,1
Mighty Miner,1
Royal Ghost,1
Bandit,1
Skeleton Dragons,1
Goblin Barrel,1
Guards,1
