Tornado,739
Graveyard,650
Barbarian Barrel,619
Poison,613
Baby Dragon,521
The Log,448
Knight,447
Barbarian Hut,447
Fireball,397
Ice Wizard,348
X,319
Archers,297
Ice Golem,296
Tesla,277
Skeletons,233
Ice Spirit,157
Mirror,94
Witch,78
Executioner,34
Goblin Drill,9
Elite Barbarians,5
Golden Knight,4
Bandit,3
Guards,3
Royal Recruits,3
Balloon,2
Furnace,2
Skeleton Barrel,2
Arrows,1
Earthquake,1
Mortar,1
Firecracker,1
Royal Giant,1
Inferno Tower,1
P.E.K.K.A,1
Lava Hound,1
Mighty Miner,1
Miner,1
Zap,1
